NEUROSENSORY,Headache
NEUROSENSORY,Vision Changes
NEUROSENSORY,Disoriented / Confused
NEUROSENSORY,Non-responsive
NEUROSENSORY,Sensory Changes
NEUROSENSORY,Seizure
NEUROSENSORY,Lethargic
NEUROSENSORY,Tremors/Shakes
NEUROSENSORY,Motor Changes
NEUROSENSORY,Agitation / Restlessness
NEUROSENSORY,Paresis / Paralysis
NEUROSENSORY,Alphasia
NEUROSENSORY,Vertigo / Dizziness
CARDIOVARSCULAR,SOB
CARDIOVARSCULAR,At rest
CARDIOVARSCULAR,With exertion
CARDIOVARSCULAR,Chest Pain
CARDIOVARSCULAR,Peripheral Pulses: Irregular
CARDIOVARSCULAR,Peripheral Pulses: Absent
RESPIRATORY,SOB
RESPIRATORY,Congestion
RESPIRATORY,Oxygen
RESPIRATORY,Trach Present
RESPIRATORY,Noisy respirations
RESPIRATORY,Cough
RESPIRATORY,Dry
RESPIRATORY,Productive
MUSCULOSKELETAL,Poor Balance
MUSCULOSKELETAL,Stiffness
MUSCULOSKELETAL,Muscle Spasm
MUSCULOSKELETAL,Fracture
MUSCULOSKELETAL,Poor Coordination
MUSCULOSKELETAL,Contractures
MUSCULOSKELETAL,Tremors / Shakes
MUSCULOSKELETAL,Amputations
GASTROINTESTINAL,Constipation
GASTROINTESTINAL,Diarrhea
GASTROINTESTINAL,Rectal Bleeding
GASTROINTESTINAL,Abdominal Distention
GASTROINTESTINAL,Incontinence
GASTROINTESTINAL,Nause
GASTROINTESTINAL,Vomiting
GASTROINTESTINAL,Mouth Sores
GASTROINTESTINAL,Feeding tube present
GASTROINTESTINAL,Lack of appetite
GASTROINTESTINAL,Last BM
GASTROINTESTINAL,Diff.Swallowing
GENITOURINARY,Painful Urination
GENITOURINARY,Retention
GENITOURINARY,Urinary / Vaginal Bleeding
GENITOURINARY,Urine Output
GENITOURINARY,Incontinence
GENITOURINARY,Vaginal Discharge
GENITOURINARY,Catheter Present
GENITOURINARY,Urine Appearance
SKIN,Jaundiced / Yellowing
SKIN,Prunitis / Itch
SKIN,Cyanosis / Blush
SKIN,Inflammation / Swelling
SKIN,Bruising
SKIN,Rash / Lesions
SKIN,Skin Tears
SKIN,Pressure Sores
SKIN,Erythema / Redness
SKIN,Diaphoresis / Sweating
HYGIENE/SAFETY,Unstable Mobility
HYGIENE/SAFETY,Vision Changes
HYGIENE/SAFETY,Weakness / Fatigue
HYGIENE/SAFETY,Motor Changes
HYGIENE/SAFETY,Vertigo / Dizziness
HYGIENE/SAFETY,Sensory Changes
HYGIENE/SAFETY,Limitations: Dressing
HYGIENE/SAFETY,Limitations: Bathing
HYGIENE/SAFETY,Limitations: Positioning
HYGIENE/SAFETY,Limitations: Grooming
HYGIENE/SAFETY,Limitations: Toileting
HYGIENE/SAFETY,Limitations: Transferring
HYGIENE/SAFETY,Limitations: Eating
HYGIENE/SAFETY,Limitations: Ambulation
PERSONAL CARE,Bath
PERSONAL CARE,Bed
PERSONAL CARE,Shower
PERSONAL CARE,Tub
PERSONAL CARE,Peri Care
PERSONAL CARE,Shampoo
PERSONAL CARE,Skin Care
PERSONAL CARE,Oral Hygiene
PERSONAL CARE,Foley Care
PERSONAL CARE,Foot Care
PERSONAL CARE,Nail Care
PERSONAL CARE,PPE Used
PERSONAL CARE,Others
NUTRITION / HYDRATION,PO
NUTRITION / HYDRATION,Type: Liquid
NUTRITION / HYDRATION,Type: Puree
NUTRITION / HYDRATION,Type: Chopped
NUTRITION / HYDRATION,Type: Solid
NUTRITION / HYDRATION,Type: Soft
NUTRITION / HYDRATION,Amount: Breakfast %
NUTRITION / HYDRATION,Amount: Lunch %
NUTRITION / HYDRATION,Amount: Dinner %
NUTRITION / HYDRATION,Feed Patient
NUTRITION / HYDRATION,Encourage Fluids
NUTRITION / HYDRATION,IV
NUTRITION / HYDRATION,SQ
NUTRITION / HYDRATION,Site Appearance
PSYCHOSOCIAL / SPIRITUAL,Family: Present
PSYCHOSOCIAL / SPIRITUAL,Family: Not Present
PSYCHOSOCIAL / SPIRITUAL,Phone contact made
PSYCHOSOCIAL / SPIRITUAL,Visitors present during shift
PSYCHOSOCIAL / SPIRITUAL,Anxiety
PSYCHOSOCIAL / SPIRITUAL,Family Conflict
PSYCHOSOCIAL / SPIRITUAL,Mood
Cardiovascular,Patient denies problem
Cardiovascular,Chest Pain
Cardiovascular,Palpitations
Cardiovascular,Vertigo
Cardiovascular,Syncope
Cardiovascular,Pulse deficit
Cardiovascular,PVD
Cardiovascular,Cyanosis
Cardiovascular,Claudication
Cardiovascular,Varicose veins
Cardiovascular,Murmur
Cardiovascular,Fatique
Cardiovascular,Edema
Cardiovascular,Cardiac pacemaker date
Cardiovascular,Last date checked
Cardiovascular,Type
Cardiovascular,Other
Respiratory,Client denies problems Lung
Respiratory,Clear
Respiratory,Lift
Respiratory,Right (Wheezes/Rhonchi)
Respiratory,Right (Crackles/Rales)
Respiratory,Right (Diminish/Absent)
Respiratory,Cappilary Refill: Less than 3 seconds
Respiratory,Cappilary Refill: Greater than 3 seconds
Respiratory,Orthopnea
Respiratory,Hemoptysis
Respiratory,SOB at rest
Respiratory,SOB at Minimal Exersion
Respiratory,SOB at Moderate Exertion
Respiratory,SOB at When walking > 20 feet
Respiratory,Cough Productive
Respiratory,Cough Non-Productive
Gastrointestinal / Abdomen,Patient denies problems
Gastrointestinal / Abdomen,Heartburn
Gastrointestinal / Abdomen,Distension
Gastrointestinal / Abdomen,Flatulence
Gastrointestinal / Abdomen,Nausea
Gastrointestinal / Abdomen,Vomiting
Gastrointestinal / Abdomen,Cocstipation
Gastrointestinal / Abdomen,Ascites
Gastrointestinal / Abdomen,Cramping
Gastrointestinal / Abdomen,Bleeding
Gastrointestinal / Abdomen,Anorexia
Gastrointestinal / Abdomen,Dysphagia
Gastrointestinal / Abdomen,Diarrhea
Gastrointestinal / Abdomen,Bowel incontinence Bowel sounds
Gastrointestinal / Abdomen,Last BM
Gastrointestinal / Abdomen,Ostomy
Gastrointestinal / Abdomen,Stoma
Gastrointestinal / Abdomen,Others